,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
10gs,166.1,-1.85,472.54,33,5,9,7,3,10,14,176,2,2,0,0,0,2,0
11gs,232.53,-3.44,608.45,39,5,13,11,3,16,20,216,2,1,0,0,0,1,0
1a08,181.83,0.92,602.59,41,2,11,8,2,14,22,232,3,1,0,0,0,1,0
1a0q,118.59,0.78,341.3,23,1,7,6,1,8,11,128,1,1,0,0,0,1,0
1a1b,191.06,0.17,568.58,39,2,12,9,2,13,22,220,3,1,0,0,0,1,0
1a1c,191.06,-0.61,552.54,38,2,12,9,2,13,17,212,3,1,1,1,0,1,0
1a1e,191.06,-0.61,552.54,38,2,12,9,2,13,16,212,3,1,1,1,0,1,1
1a30,206.23,-5.97,373.36,26,5,11,8,3,11,15,148,2,0,0,0,0,0,0
1a42,123.38,-0.94,384.52,23,4,8,6,2,11,10,132,0,1,0,1,1,0,0
1a4k,144.94,0.17,428.42,31,2,10,7,2,10,6,164,4,1,4,4,0,1,1
1a4r,264.02,-3.75,440.2,28,7,16,14,5,18,10,156,0,2,1,1,2,0,1
1a4w,165.69,1.19,614.82,42,6,11,7,4,13,15,226,1,3,1,1,1,2,1
1a69,144.35,-2.2,268.23,19,5,9,7,5,9,5,102,0,2,1,1,2,0,1
1a8i,148.35,-4,248.19,17,6,9,7,6,9,5,96,3,0,2,2,0,0,2
1a94,351.47,-5.19,847.05,60,16,20,9,11,20,35,336,7,1,0,0,0,1,0
1a99,55.28,-1.75,90.17,6,6,2,0,2,2,5,38,0,0,0,0,0,0,0
1a9m,259.72,-2.66,597.78,42,13,14,6,9,14,23,240,5,0,1,1,0,0,0
1aaq,190.57,-0.56,578.73,41,8,12,7,6,12,25,230,4,1,0,0,0,1,0
1abf,90.15,-2.19,164.16,11,4,5,5,4,5,5,66,0,0,1,1,0,0,1
1add,126.65,-1.38,266.26,19,5,8,8,4,8,6,102,0,2,1,1,2,0,1
1adl,40.13,4.88,303.47,22,0,2,2,0,2,15,124,0,0,0,0,0,0,0
1ado,109.72,-2.61,168.04,10,1,6,6,1,7,5,60,0,0,0,0,0,0,0
1af2,124.78,-2.85,244.2,17,4,8,7,4,8,5,94,0,1,1,1,1,0,1
1af6,189.53,-5.4,342.3,23,8,11,11,8,11,13,136,0,0,2,2,0,0,2
1afk,293.28,-4.79,502.14,31,3,18,18,2,21,10,174,0,2,1,1,2,0,1
1afl,293.28,-4.79,502.14,31,3,18,18,2,21,10,174,0,2,1,1,2,0,1
1agm,325.75,-9.59,646.62,44,15,19,18,14,19,23,256,0,0,3,4,0,0,3
1ai4,80.59,-0.61,167.14,12,2,4,4,2,4,4,64,0,1,0,0,0,1,0
1ai5,83.27,-0.11,180.14,13,0,5,4,0,5,3,68,0,1,0,0,0,1,0
1ai7,20.23,1.39,94.11,7,1,1,1,1,1,1,36,0,1,0,0,0,1,0
1aid,23.47,5.88,452.06,29,1,2,4,1,6,7,156,0,2,2,2,0,2,2
1aj6,200.01,3.63,612.63,44,6,13,11,5,13,17,236,2,3,1,1,1,2,1
1aj7,132.63,0.45,301.19,20,0,8,7,0,9,8,110,0,1,0,0,0,1,0
1ajn,83.27,-0.11,180.14,13,0,5,4,0,5,3,68,0,1,0,0,0,1,0
1ajp,80.59,-0.61,167.14,12,2,4,4,2,4,4,64,0,1,0,0,0,1,0
1ajq,40.13,0.04,141.17,9,0,2,3,0,3,2,48,0,1,0,0,1,0,0
1ajv,99.54,3.87,574.7,41,2,8,6,2,9,12,214,0,4,1,1,0,4,1
1ajx,82.47,4.74,538.64,40,2,7,5,2,7,12,206,2,4,1,1,0,4,1
1alw,40.13,0.28,181.24,12,0,2,3,1,3,4,64,0,1,0,0,0,1,0
1amw,241.09,-3.64,424.18,27,4,15,15,3,17,9,150,0,2,1,1,2,0,1
1apb,90.15,-2.19,164.16,11,4,5,5,4,5,5,66,0,0,1,1,0,0,1
1apv,156.86,0.91,522.63,36,6,10,6,6,12,25,210,4,0,0,0,0,0,0
1apw,136.63,1.59,506.63,35,5,9,5,5,11,24,204,4,0,0,0,0,0,0
1atl,78.46,1.06,338.45,23,1,5,5,2,6,13,128,1,1,0,0,0,1,0
1avn,56.32,-0.81,112.16,8,4,3,1,2,3,3,44,0,1,0,0,1,0,0
1awi,239.53,-2.62,989.19,71,2,21,11,1,21,10,388,9,0,10,10,0,0,10
1ax0,119.25,-3.08,221.21,15,5,7,6,5,7,7,88,1,0,1,1,0,0,1
1axz,110.38,-3.22,180.16,12,5,6,6,5,6,6,72,0,0,1,1,0,0,1
1b05,181.25,-4.93,379.53,25,11,9,5,6,10,18,146,2,0,0,0,0,0,0
1b0h,181.25,-2.46,473.62,34,11,9,4,5,9,18,186,2,2,0,0,0,2,0
1b11,116.76,2.16,455.55,33,4,8,5,4,8,15,178,3,2,0,0,0,2,0
1b1h,181.25,-3.23,437.58,31,11,9,4,5,9,19,174,2,1,0,0,0,1,0
1b2h,208.89,-5.84,391.54,27,14,10,4,6,10,20,158,2,0,0,0,0,0,0
1b32,181.25,-4.11,407.58,27,11,9,5,5,10,20,158,2,0,0,0,0,0,0
1b38,290.45,-4.16,503.15,31,4,18,18,3,21,11,174,0,2,1,1,2,0,1
1b39,290.45,-4.16,503.15,31,4,18,18,3,21,11,174,0,2,1,1,2,0,1
1b3f,209.93,-4.89,413.52,29,12,11,5,6,11,18,164,2,1,0,0,1,0,0
1b3g,181.25,-3.81,389.54,27,11,9,4,5,9,20,158,2,0,0,0,0,0,0
1b3h,181.25,-2.89,429.61,30,11,9,4,5,9,18,174,2,0,1,1,0,0,0
1b3l,181.25,-5.23,333.43,23,11,9,4,5,9,16,134,2,0,0,0,0,0,0
1b40,181.25,-3.62,423.56,30,11,9,4,5,9,18,168,2,1,0,0,0,1,0
1b46,172.46,-4.35,373.5,26,10,9,4,4,9,15,150,2,0,1,1,0,0,1
1b4h,208.89,-6.23,377.51,26,14,10,4,6,10,19,152,2,0,0,0,0,0,0
1b4z,221.38,-6.72,390.46,27,11,11,6,5,11,18,156,2,0,0,0,0,0,0
1b51,201.48,-5.87,363.46,25,12,10,5,6,10,18,146,2,0,0,0,0,0,0
1b52,201.48,-5.48,377.49,26,12,10,5,6,10,19,152,2,0,0,0,0,0,0
1b55,330.14,-8.42,492.01,28,2,18,18,2,22,10,168,0,0,1,1,0,0,0
1b58,201.48,-3.91,439.56,31,12,10,5,6,10,19,174,2,1,0,0,0,1,0
1b5h,208.89,-6.62,363.48,25,14,10,4,6,10,18,146,2,0,0,0,0,0,0
1b5i,224.34,-5.98,390.48,27,13,11,5,6,11,18,156,3,0,0,0,0,0,0
1b5j,224.34,-5.59,404.51,28,13,11,5,6,11,19,162,3,0,0,0,0,0,0
1b6h,181.25,-4.06,375.51,26,11,9,4,5,9,19,152,2,0,0,0,0,0,0
1b6j,235.28,-0.77,687.84,49,9,15,9,7,15,18,272,6,1,1,3,0,1,1
1b6k,173.91,1.03,680.87,49,7,12,7,6,12,18,268,4,2,1,3,0,2,1
1b6l,163.09,0.38,545.68,39,6,11,7,5,11,7,216,4,1,1,3,0,1,1
1b6m,142.6,2.09,597.78,43,6,10,6,5,10,12,236,3,2,0,2,0,2,0
1b74,110.86,-3.39,146.15,10,5,5,3,2,5,5,58,1,0,0,0,0,0,0
1b7h,181.25,-3.67,389.54,27,11,9,4,5,9,20,158,2,0,0,0,0,0,0
1b8o,138.84,-3.05,267.26,19,7,8,5,6,8,5,102,0,2,1,1,2,0,1
1b8y,89.54,1.1,373.45,26,1,6,5,1,7,6,138,0,2,1,1,0,2,1
1b9j,181.25,-3.81,389.54,27,11,9,4,5,9,20,158,2,0,0,0,0,0,0
1bai,351.47,-5.19,847.05,60,16,20,9,11,20,35,336,7,1,0,0,0,1,0
1bap,90.15,-2.58,150.13,10,4,5,5,4,5,4,60,0,0,1,1,0,0,1
1bcd,60.16,-0.21,149.09,8,2,3,2,1,7,1,50,0,0,0,0,0,0,0
1bcu,64.93,2.55,209.25,16,4,3,3,2,3,2,78,0,3,0,0,1,2,0
1bdq,116.34,4.97,534.7,39,4,8,5,4,8,15,210,2,3,0,0,1,2,0
1bgq,96.36,2.69,364.78,25,2,6,6,2,7,3,132,0,1,1,2,0,1,1
1bhf,276.92,-5.66,632.62,45,4,16,12,4,16,23,248,4,1,0,0,0,1,0
1bhx,161.59,-2.6,469.61,31,7,10,5,5,12,9,170,2,1,2,2,0,1,2
1bma,87.3,4.52,521.6,37,3,7,3,3,10,16,202,3,2,0,0,0,2,0
1bn1,106.33,1.18,346.45,21,3,6,5,2,9,7,114,0,2,0,0,1,1,0
